warehouse_name,sku_id,order_date,min,max,mean,std,price_diff
India,08cb0f9,2023-09-16,330.48,7784.64,4057.5600000000004,5270.887084049516,7454.16
India,08cb0f9,2023-09-18,327.69,7719.84,3284.55,4048.8473034618137,7392.150000000001
India,08cb0f9,2023-10-20,328.29,7734.24,1809.48,3312.0415275929136,7405.95
India,08cb0f9,2023-11-18,324.36,1307.28,652.0,567.4891265918669,982.92
India,08cb0f9,2023-11-19,324.36,2228.94,1276.65,1346.7414333122747,1904.58
India,08cb0f9,2023-11-22,324.36,3821.04,1323.4114285714288,1706.2051335388385,3496.68
India,0934276,2022-09-27,390.92,7672.0,2817.9466666666667,4203.7334979912,7281.08
India,0934276,2022-09-28,390.92,7672.0,4031.46,5148.501042361748,7281.08
India,0934276,2022-10-06,383.6,390.92,388.48,4.226203970468049,7.319999999999993
India,0934276,2022-10-07,390.91999999999996,390.92,390.91999999999996,2.842170943040401e-14,5.684341886080802e-14
India,0934276,2022-10-18,390.2,7660.8,4934.325,3762.8929918158906,7270.6
India,0934276,2022-11-11,383.86,7677.2,1118.206,2304.597500110497,7293.34
India,0934276,2022-11-12,391.02,7677.200000000001,1848.256,2990.185179758323,7286.18
India,0934276,2022-11-13,383.85999999999996,7677.200000000001,2009.3755555555556,3213.3552735540743,7293.340000000001
India,0934276,2022-11-14,391.02,7677.2,1431.902857142857,2753.9171839503715,7286.18
India,0934276,2022-11-16,383.85999999999996,7677.2,1604.1899999999998,2975.1565190624847,7293.34
India,0934276,2022-11-21,383.85999999999996,391.02,390.125,2.531442276647836,7.160000000000025
India,0934276,2022-11-25,391.28,391.28000000000003,391.28000000000003,0.0,5.684341886080802e-14
India,0934276,2022-11-29,391.28,7683.2,4037.24,4209.991974909216,7291.92
India,0987fb0,2023-09-09,462.6,1816.32,1139.46,957.224591827853,1353.7199999999998
India,0987fb0,2023-10-02,462.6,1816.32,1139.46,781.5706064073801,1353.7199999999998
India,0987fb0,2023-10-03,462.6,1816.32,1365.08,781.5706064073801,1353.7199999999998
India,0987fb0,2023-10-29,462.6,1816.32,1139.46,741.4629805458934,1353.7199999999998
India,0990f23,2022-11-04,203.2,1197.6,451.8,497.19999999999993,994.3999999999999
India,099e5d3,2023-09-18,2628.84,3286.05,2957.445,464.71764766361093,657.21
India,099e5d3,2023-09-19,669.5999999999999,3286.05,1541.75,1510.6081118211966,2616.4500000000003
India,0a2577c,2023-11-22,696.56,2070.3,1154.4733333333334,793.1291587965567,1373.7400000000002
India,0a2e89c,2023-11-02,584.0,600.0,592.0,11.313708498984761,16.0
India,0a2e89c,2023-11-03,600.0,876.0,784.0,159.34867429633672,276.0
India,0a2e89c,2023-11-07,554.4,1615.6799999999998,1082.3999999999999,530.6597011268143,1061.2799999999997
India,0ae63a4,2023-11-22,334.95000000000005,669.9000000000001,502.42500000000007,236.84541635843414,334.95000000000005
India,0b1e179,2022-09-26,1189.22,2344.3,1766.7600000000002,816.7649008129575,1155.0800000000002
India,0b1e179,2022-10-28,1189.22,2344.3,1766.7600000000002,816.7649008129573,1155.0800000000002
India,0b42d19,2023-11-18,357.84,1757.0,1057.42,989.35552396497,1399.16
India,0b7bcd6,2023-11-03,278.8,544.0,411.4,187.52471837067242,265.2
India,0be6d9e,2022-11-25,337.86,3979.44,2158.65,2574.9859122333078,3641.58
India,0c2ef6f,2023-09-15,132.66,265.32,198.99,93.80478559220738,132.66
India,0c79b31,2022-09-15,542.84,4815.72,3213.3900000000003,2211.425495402069,4272.88
India,0c79b31,2022-09-19,542.84,4815.72,1611.0600000000002,2136.4400000000005,4272.88
India,0c79b31,2022-10-27,561.52,4959.36,2027.4666666666665,2539.0941078529036,4397.84
India,0ced4b9,2023-11-16,403.65,1556.16,787.82,665.4019587437357,1152.5100000000002
India,0ced4b9,2023-11-22,403.65,1556.16,979.905,814.947636385308,1152.5100000000002
India,0d22bf7,2022-11-01,655.42,3860.4,1728.4766666666667,1651.384777472127,3204.98
India,0d22bf7,2022-11-03,655.42,3860.4,1189.5833333333333,1308.4276059708716,3204.98
India,0d22bf7,2022-11-04,655.42,3860.4,2257.91,1850.3960657473665,3204.98
India,0d22bf7,2022-11-07,655.42,3860.4,2257.91,1850.396065747367,3204.98
India,0d22bf7,2023-10-28,1078.14,4125.0,2601.57,1759.105441183103,3046.8599999999997
India,0d22bf7,2023-10-29,1078.14,4125.0,2601.57,2154.4553673260443,3046.8599999999997
India,0d22bf7,2023-11-30,1078.14,4125.0,2601.57,2154.4553673260443,3046.8599999999997
India,0e3fd2c,2022-09-06,148.0,864.0,291.2,320.2049343779699,716.0
India,0e3fd2c,2022-09-13,148.0,864.0,506.0,506.288455329568,716.0
India,0e3fd2c,2022-09-26,148.0,864.0,386.6666666666667,413.38279273977207,716.0
India,0ea98b1,2023-09-09,300.0,588.0,480.0,149.0541608179485,288.0
India,0ea98b1,2023-09-10,294.0,588.0,394.0,168.03571049035975,294.0
India,0eeddec,2023-09-24,328.29999999999995,5801.4,1110.1714285714284,2068.637357226801,5473.099999999999
India,0eeddec,2023-09-29,328.4,328.40000000000003,328.40000000000003,2.320622857404618e-14,5.684341886080802e-14
India,0eeddec,2023-10-04,328.4,5803.200000000001,3065.8,2926.4036944442823,5474.800000000001
India,0eeddec,2023-10-16,329.4,970.2,695.5714285714286,342.5220076349631,640.8000000000001
India,0eeddec,2023-10-17,323.40000000000003,970.2,613.5333333333333,338.36902931562753,646.8
India,0eeddec,2023-10-20,329.4,970.2,466.7142857142857,272.8624529717459,640.8000000000001
India,0eeddec,2023-10-28,658.7,1939.8,1130.6842105263158,634.9062776532523,1281.1
India,0eeddec,2023-10-29,258.64,1939.8,746.804,437.62516500869646,1681.1599999999999
India,0eeddec,2023-10-30,258.64,658.7,578.688,178.9122710157132,400.06000000000006
India,0eeddec,2023-11-02,658.7,1939.8,914.9200000000001,572.925337194996,1281.1
India,0eeddec,2023-11-03,658.7,1939.8,1390.7571428571428,684.7767540280137,1281.1
India,0eeddec,2023-11-04,658.7,1939.8,1043.03,618.8300916514429,1281.1
India,0eeddec,2023-11-05,658.7,1939.8,891.6272727272727,518.2304662809956,1281.1
India,0eeddec,2023-11-07,658.7,1939.8,1299.25,701.6873684198683,1281.1
India,0eeddec,2023-11-16,658.5,1939.5000000000005,1390.5,684.7233017796314,1281.0000000000005
India,0eeddec,2023-11-17,658.5,1939.5,1024.5,625.0639967235355,1281.0
India,0eeddec,2023-11-18,658.5,1939.5,914.7,572.8806158354462,1281.0
India,0eeddec,2023-11-22,658.5,1939.5,914.7,572.8806158354462,1281.0
India,0f0756f,2023-09-18,558.54,2193.12,1375.83,943.7252030119785,1634.58
India,0f0756f,2023-10-28,558.54,2193.12,1784.475,817.29,1634.58
India,0f0756f,2023-10-29,558.54,2193.12,1212.3719999999998,895.2963380467943,1634.58
India,0f0756f,2023-10-30,558.54,2193.12,967.185,817.29,1634.58
India,0f0756f,2023-11-02,558.54,2193.12,762.8625,577.9113011959535,1634.58
India,0f22894,2022-09-03,669.6,4017.6000000000004,2343.6000000000004,2367.3935034125616,3348.0000000000005
India,0f22894,2022-09-07,682.0,4017.6000000000004,2349.8,2358.6253793258484,3335.6000000000004
India,0f22894,2022-09-08,669.6,4017.6,2680.88,1830.3844929413056,3348.0
India,0f22894,2022-09-09,669.6,4017.6,2346.7,1929.3957707012835,3348.0
India,0f22894,2022-09-14,682.0,4017.6,2905.7333333333336,1925.8095579089154,3335.6
India,0f22894,2022-09-15,682.0,4017.6,1793.8666666666668,1722.4964332812613,3335.6
India,0f22894,2022-09-16,682.0,4017.6000000000004,2349.8,1925.809557908916,3335.6000000000004
